Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,K,algorithm,gamma,kernel,leaf_size,learning_rate,max_features,min_samples_leaf,min_samples_split,n_estimators,n_neighbors,num_leaves,p,weights,F1-Score,accuracy,recall,sensitivity,specificity
2022-03-01 07:38:05,59.0s,63aedfd80eb24457911fd4ec1d42dc8b,Model: lightGBM - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.2,,,,200,,31,,,99.75394830664025,99.7196209984297,99.83996649432187,99.6685705471276,99.7874568490125
2022-03-01 07:35:04,19.8s,0613364d0c3f4481b8100e4a60a0186e,Model: lightGBM - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.2,,,,200,,31,,,99.73043098423064,99.6930104359118,99.8262391923082,99.63500523549352,99.77029914921967
2022-03-01 05:44:02,44.3s,d3703b051d4844ce90b97baf6e25b025,Model: SVM - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,100,12,,1,rbf,,,,,,,,,,,99.66925428690998,99.6236170442074,99.70150415279755,99.63802531127467,99.6096040838589
2022-03-01 08:39:41,1.1min,15260776860d42669998c8bf7151ee0b,Model: lightGBM - Dataset: ItalianParkinsonSpeech_chunk_1000ms,LOCAL,main.py,eajiboye,FINISHED,,12,,,,,0.2,,,,200,,31,,,99.61629639390704,99.56162893487262,99.74954038657899,99.48490655203786,99.66390832632008
2022-03-01 05:41:49,14.2s,8ac90903274f419aa2e759b27a1049b4,Model: SVM - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,100,4,,1,rbf,,,,,,,,,,,99.59700299496622,99.5399899275165,99.59248193819349,99.60182286203813,99.4570165175318
2022-03-01 08:35:30,25.7s,ba651ac1527b483fb369e8e3d8f716aa,Model: lightGBM - Dataset: ItalianParkinsonSpeech_chunk_1000ms,LOCAL,main.py,eajiboye,FINISHED,,4,,,,,0.2,,,,200,,31,,,99.51256223969177,99.44179868404082,99.71444929023741,99.31253180936878,99.61949603271086
2022-03-01 06:08:54,25.0s,0396de53fb2a45a7b540a9ac0ec1d41c,Model: KNN - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,,12,auto,,,1,,,,,,1,,1,uniform,99.45269929535219,99.37840423460842,99.6738903282694,99.23375054772623,99.56790151624881
2022-03-01 05:56:36,26.9s,c01678a703844014bf1a608ce3782cd7,Model: KNN - Dataset: ItalianParkinsonSpeech_chunk_500ms,LOCAL,main.py,eajiboye,FINISHED,,4,auto,,,1,,,,,,1,,1,uniform,99.43250308462535,99.35560576431914,99.69319749012863,99.17350382019573,99.59525401021084
2022-03-01 07:40:23,18.0s,838c4ec7ed9b43beb671732b766a39a2,Model: SVM - Dataset: ItalianParkinsonSpeech_chunk_1000ms,LOCAL,main.py,eajiboye,FINISHED,100,12,,1,rbf,,,,,,,,,,,99.42532097989937,99.34334732984873,99.39731516955972,99.45587606632006,99.19241864938962
2022-03-01 05:19:59,3.3s,e92808c3f13c443d96bc1ab84f880e7d,Model: SVM - Dataset: ItalianParkinsonSpeech_split_on_silence_1000ms,LOCAL,main.py,eajiboye,FINISHED,10,12,,1,rbf,,,,,,,,,,,99.27936908259731,99.23406539260196,99.51386656244155,99.08212769630087,99.48297301324138
